,ids,scores,username,tiktok_username,instagram_username,follower_count,following_count
79,63348c829133d3432093c8ee,11.19,kdeenihan,,kdeenihan,219839,1314
80,63348c829133d3432093c8ef,6.0,ashleygraham,,ashleygraham,19183343,653
81,63348c829133d3432093c8f0,6.0,hilaryrhoda,,hilaryrhoda,504291,891
82,63348c829133d3432093c8f1,6.5,sarahmaxwell,,sarahmaxwellbeauty,18201,251
83,63348c829133d3432093c8f2,10.23,andrewfitzsimons,,andrewfitzsimons,648186,772
84,63348c829133d3432093c8f3,6.25,justinanderson,,justinanderson,546181,961
85,63348c829133d3432093c8f4,8.0,nataliabruschi,,nataliabruschi,79833,613
86,63348c829133d3432093c8f5,17.04,joannavargas,,joannavargasnyc,110592,2165
87,63348c829133d3432093c8f6,10.25,laradevgan,,laradevganmd,842275,482
88,63348c829133d3432093c8f7,6.25,kelleybaker,,kelleybakerbrows,623193,6075
89,63348c829133d3432093c8f8,36.92,harriethadfield,,harrymakesitup,32730,4606
90,63348c829133d3432093c8f9,6.25,fredericfekkai,,fredericfekkai,12026,1657
91,63348c829133d3432093c8fa,39.72,mollysims,,mollybsims,790012,1159
92,63348c829133d3432093c8fb,6.5,josephmaine,joseph.maine,josephmaine,109362,939
93,63348c829133d3432093c8fc,4.0,thewallgroup,,thewallgroup,250376,2831
94,63348c829133d3432093c8fd,41.73,elizabethhoushmand,,houshmandmd,68401,746
95,63348c829133d3432093c8fe,69.81,dr.mamina,dr.mamina,dr.mamina,251601,1947
96,63348c829133d3432093c8ff,43.77,dr.tomassian,dr.tomassian,dr.tomassian,401845,795
97,63348c829133d3432093c900,93.01,charlotteparler,charlotteparler,charlotteparler,256892,2552
98,63348c829133d3432093c901,97.57,dermdoctor,dermdoctor,doctorly,859706,1562
99,63348c829133d3432093c902,8.75,amykomorowski,,akgroomer,12602,2090
